School,UG/PG,Level,Unit Code,Sched unit ID,Moodle Unit Name,Block,Day,Time,Group,Unit Name,"Unit Name - Group Group, Block","Unit Name - Group Group, Block UG/PG Campus",Moodle Group Name,"MOODLE UPDATED? 
(BEAU)",Number of Sessions,,Unit Coordinator,Lecturer in Rapla,Room type,Room,"Open/
Closed",Campus,Reverse Hybrid (F2F/Online) or OSP,Comments - Academic Administration,Comments - PD,Forecast Numbers,Current Enrolments
BUS,PG,5,MPM5007,16430,2026SS-MPM5007,SS,Tue,09:00AM - 10:00AM,1,Errors and Pitfalls in Project Management,"Errors and Pitfalls in Project Management - Group 1, SS","Errors and Pitfalls in Project Management - Group 1, SS PG SYD/MEL",Group 1: Tue 09:00AM - 10:00AM SYD/MEL,,4,Mr Rodrigo Oliveira De Castro,Mr Rodrigo Oliveira De Castro,Mr Rodrigo Oliveira De Castro,Online ,Online 1,Open,SYD/MEL,NO,Self-directed for 232587 - 12.12.2025,,,
BUS,PG,5,MPM5008,16429,2026SS-MPM5008,SS,Mon,09:00AM - 10:00AM,1,Major Project - Capstone,"Major Project - Capstone - Group 1, SS","Major Project - Capstone - Group 1, SS PG SYD/MEL",Group 1: Mon 09:00AM - 10:00AM SYD/MEL,,4,Dr Carolyn Tran,Dr Carolyn Tran,Dr Carolyn Tran,Online ,Online 1,Open,SYD/MEL,NO,Self-directed for 234563 - 12.12.2025,,,
ISY,UG,2,BISY2006,15868,2026SS-BISY2006,SS,Mon/Wed,8:30AM -  12:30PM,1,Management Information Systems and Enterprise Systems,"Management Information Systems and Enterprise Systems - Group 1, SS","Management Information Systems and Enterprise Systems - Group 1, SS UG SYD",Group 1: Mon/Wed 8:30AM -  12:30PM SYD,,8,Ms Mohsina Kawser,Ms Mohsina Kawser,Ms Mohsina Kawser,Class,"Level 4, Classroom 7",Open,SYD,NO,,,,
ISY,UG,2,BISY2006,15869,2026SS-BISY2006,SS,Mon/Wed,8:30AM -  12:30PM,1,Management Information Systems and Enterprise Systems,"Management Information Systems and Enterprise Systems - Group 1, SS","Management Information Systems and Enterprise Systems - Group 1, SS UG MEL",Group 1: Mon/Wed 8:30AM -  12:30PM MEL,,8,,,,Class,Room 5,Closed,MEL,NO,,,,
ISY,UG,2,BISY2003,15870,2026SS-BISY2003,SS,Mon/Wed,5:00PM - 9:00PM,1,Object Oriented Programming,"Object Oriented Programming - Group 1, SS","Object Oriented Programming - Group 1, SS UG SYD",Group 1: Mon/Wed 5:00PM - 9:00PM SYD,,8,,,,Class,"Level 3, Classroom 6",Closed,SYD,NO,,,,
BUS,PG,4,MPM4002,16555,2026SS-MPM4002,SS,Tue,10:00AM -  11:00AM,1,Project Management Domains (Tools and Techniques),"Project Management Domains (Tools and Techniques) - Group 1, SS","Project Management Domains (Tools and Techniques) - Group 1, SS PG SYD/MEL",Group 1: Tue 10:00AM -  11:00AM SYD/MEL,,4,Mr Son Nguyen,Mr Son Nguyen,Mr Son Nguyen,Online ,Online 1,Open,SYD/MEL,NO,Self-directed for 239584 - 13.01.2026,,,
BUS,PG,4,MPM4006,15871,2026SS-MPM4006,SS,Tue/Thu,1:00PM -  5:00PM,1,Organisation Change Management,"Organisation Change Management - Group 1, SS","Organisation Change Management - Group 1, SS PG SYD",Group 1: Tue/Thu 1:00PM -  5:00PM SYD,,8,,,,Class,"Level 4, Classroom 11",Closed,SYD,YES,,,,
BUS,PG,4,MPM4006,15872,2026SS-MPM4006,SS,Tue/Thu,8:30AM -  12:30PM,1,Organisation Change Management,"Organisation Change Management - Group 1, SS","Organisation Change Management - Group 1, SS PG MEL",Group 1: Tue/Thu 8:30AM -  12:30PM MEL,,8,,,,Class,Room 4,Closed,MEL,YES,,,,
ISY,PG,5,MBIS5006,15873,2026SS-MBIS5006,SS,Tue/Thu,1:00PM -  5:00PM,1,Organisational Cyber security,"Organisational Cyber security - Group 1, SS","Organisational Cyber security - Group 1, SS PG SYD/MEL",Group 1: Tue/Thu 1:00PM -  5:00PM SYD/MEL,,8,Dr Mohammad Ezazul Islam,Dr Mohammad Ezazul Islam,Dr Mohammad Ezazul Islam,Online,Online 1,Open,SYD/MEL,NO,Class combined - 15.01.2026,,,
ISY,PG,5,MBIS5006,15874,2026SS-MBIS5006,SS,Tue/Thu,5:00PM -  9:00PM,1,Organisational Cyber security,"Organisational Cyber security - Group 1, SS","Organisational Cyber security - Group 1, SS PG SYD",Group 1: Tue/Thu 5:00PM -  9:00PM SYD,,8,Dr Manzoor Ahmed Hashmani,Dr Mohammad Ezazul Islam,Dr Manzoor Ahmed Hashmani,Class,"Level 3, Computer Lab 3",Closed,SYD,NO,Class merged and closed - 15.01.2026,,,
BUS,PG,4,MBA4004,15875,2026SS-MBA4004,SS,Tue/Thu,1:00PM -  5:00PM,1,"People, Culture and Agile Leadership","People, Culture and Agile Leadership - Group 1, SS","People, Culture and Agile Leadership - Group 1, SS PG MEL",Group 1: Tue/Thu 1:00PM -  5:00PM MEL,,8,Ms Valerie Caine,Ms Valerie Caine,Ms Valerie Caine,Class,Online 1,Closed,MEL,YES,Class closed - 15.01.2026,,,
BUS,PG,4,MBA4004,15876,2026SS-MBA4004,SS,Tue/Thu,1:00PM -  5:00PM,1,"People, Culture and Agile Leadership","People, Culture and Agile Leadership - Group 1, SS","People, Culture and Agile Leadership - Group 1, SS PG SYD",Group 1: Tue/Thu 1:00PM -  5:00PM SYD,,8,Mr Son Nguyen,Ms Valerie Caine,Mr Son Nguyen,Class,"Level 3, Classroom 2",Open,SYD,YES,,,,
ISY,UG,1,BISY1001,15877,2026SS-BISY1001,SS,Mon/Wed,1:00PM -  5:00PM,1,Professional and Ethical Practice,"Professional and Ethical Practice - Group 1, SS","Professional and Ethical Practice - Group 1, SS UG SYD",Group 1: Mon/Wed 1:00PM -  5:00PM SYD,,8,Ms Najnin Nirjhar,Ms Najnin Nirjhar,Ms Najnin Nirjhar,Online ,Online 1,Closed,SYD,NO,Class merged and closed - 15.01.2026,,,
ISY,UG,1,BISY1001,15878,2026SS-BISY1001,SS,Mon/Wed,5:00PM - 9:00PM,1,Professional and Ethical Practice,"Professional and Ethical Practice - Group 1, SS","Professional and Ethical Practice - Group 1, SS UG SYD/MEL",Group 1: Mon/Wed 5:00PM - 9:00PM SYD/MEL,,8,Ms Najnin Nirjhar,Ms Najnin Nirjhar,Ms Najnin Nirjhar,Online ,Online 1,Open,SYD/MEL,NO,Class combined - 15.01.2026,,,
